English,Original,Seq2Seq,Attention
ayadaministreshana,অ্যাডমিনিস্ট্রেশন,অ্যাডমিনিস্টেরন,অ্যাডমিনিস্ট্রেশন
ameeno,অ্যামিনো,এমিনো,অ্যামিনো
amino,অ্যামিনো,আমিন,অ্যামিনো
aminoo,অ্যামিনো,অমিনু,অ্যামিনো
alan,অ্যালেন,আলন,অ্যালেন
alen,অ্যালেন,আলেন,অ্যালেন
aandre,আঁদ্রে,আন্দ্রে,আঁদ্রে
andre,আঁদ্রে,আন্দ্রে,আঁদ্রে
igp,আইজিপি,এগপি,আইজিপি
aiteem,আইটেম,এটিম,আইটেম
aitem,আইটেম,এইতেম,আইটেম
iteem,আইটেম,ইতিম,আইটেম
epie,আইপিএ,এপিই,আইপিএ
ipley,আইপিএলে,ইপলে,আইপিএলে
aipieler,আইপিএলের,অ্যাপিলের,আইপিএলের
aisa,আইস,আইএসএ,আইস
aish,আইস,আইশ,আইস
esa,আইস,এস,আইস
ice,আইস,ইস,আইস
aaeeslyand,আইসল্যান্ড,অস্ল্যান্ড,আইসল্যান্ড
iceland,আইসল্যান্ড,ইসলাযান্ড,আইসল্যান্ড
aisalyandika,আইসল্যান্ডিক,আস্লালন্দিক,আইসল্যান্ডিক
aisalyandiqa,আইসল্যান্ডিক,আস্লালন্দিক,আইসল্যান্ডিক
icelendic,আইসল্যান্ডিক,ইসাইন্ডিক্ক,আইসল্যান্ডিক
aaislyande,আইসল্যান্ডে,অস্ল্যান্ডে,আইসল্যান্ডে
aaeeseeser,আইসিসের,আইজেসের,আইসিসের
aaiseeser,আইসিসের,আইসেসের,আইসিসের
isiser,আইসিসের,এসির,আইসিসের
aeshotop,আইসোটোপ,আশততপ,আইসোটোপ
aesotop,আইসোটোপ,আসতাপ,আইসোটোপ
iizootoop,আইসোটোপ,ইউজিটপ,আইসোটোপ
ishotope,আইসোটোপ,ইসতাপে,আইসোটোপ
isootoope,আইসোটোপ,ইসুটপ,আইসোটোপ
isotope,আইসোটোপ,ইসতাপে,আইসোটোপ
aklima,আকলিমা,একলিমা,আকলিমা
aakeel,আকিল,একেল,আকিল
akeel,আকিল,একেল,আকিল
aga,আজা,আগা,আজা
ajijke,আজিজকে,অজিকে,আজিজকে
atta,আটটা,আটাা,আটটা
atmaghati,আত্মঘাতী,আত্মগতি,আত্মঘাতী
atmoghati,আত্মঘাতী,আত্মগতি,আত্মঘাতী
atmovishvaser,আত্মবিশ্বাসের,আত্মবিভাসের,আত্মবিশ্বাসের
attoshommanbodh,আত্মসম্মানবোধ,আত্মসমম্বধ,আত্মসম্মানবোধ
atmik,আত্মিক,আত্মীক,আত্মিক
aanta,আন্ত,আঁতা,আন্ত
aanto,আন্ত,আ্যান্ত,আন্ত
anta,আন্ত,অন্ত,আন্ত
anto,আন্ত,অ্যান্ত,আন্ত
antar,আন্তর,অন্তর,আন্তর
antor,আন্তর,অন্তর,আন্তর
andamaner,আন্দামানে,আন্দমানের,আন্দামানে
aaphsaarii,আফসারী,আফ্ারী,আফসারী
aphsari,আফসারী,অফরী,আফসারী
abdus,আবদুস,আবদুশ,আবদুস
abudhabi,আবুধাবি,অবুধাবী,আবুধাবি
aamina,আমিনা,আমিন,আমিনা
amina,আমিনা,আমিন,আমিনা
aminake,আমিনাকে,অমিনাকে,আমিনাকে
aminakey,আমিনাকে,অমিনাকে,আমিনাকে
amu,আমু,এমু,আমু
ameeje,আমেজে,আমিজে,আমেজে
ameje,আমেজে,অ্যামেজ,আমেজে
americate,আমেরিকাতে,অমেরিকাতে,আমেরিকাতে
americatey,আমেরিকাতে,অমেরিকাতে,আমেরিকাতে
arsho,আরশ,অর্ষ,আরশ
arakane,আরাকানে,আরককে,আরাকানে
aru,আরু,অরু,আরু
architectural,আর্কিটেকচারাল,আর্কিটেক্চার্ল,আর্কিটেকচারাল
architeectural,আর্কিটেকচারাল,আর্কিটিক্যাক্ল,আর্কিটেকচারাল
argentinakey,আর্জেন্টিনাকে,অর্গেন্টিকেক,আর্জেন্টিনাকে
artilleryir,আর্টিলারির,অর্টিলারির,আর্টিলারির
aarthur,আর্থার,আর্থুর,আর্থার
arthar,আর্থার,অর্থার,আর্থার
arthara,আর্থার,অর্থরা,আর্থার
arthur,আর্থার,অর্থুর,আর্থার
orthur,আর্থার,অর্থুর,আর্থার
arjo,আর্য,অর্জ,আর্য
arjogon,আর্যগণ,অর্যোগণ,আর্যগণ
arjader,আর্যদের,অর্জাদের,আর্যদের
arjoder,আর্যদের,অর্যদের,আর্যদের
aalkatraar,আলকাতরার,আল্কত্রার,আলকাতরার
aalkatrar,আলকাতরার,আল্কত্রার,আলকাতরার
alkatrar,আলকাতরার,আল্কত্রার,আলকাতরার
albarto,আলবার্তো,আলবার্ত,আলবার্তো
alberto,আলবার্তো,আলবার্ত,আলবার্তো
alexandarer,আলেকজান্ডারের,আলেকসন্ডার,আলেকজান্ডারের
alexander,আলেকজান্ডারের,আলেকসন্দের,আলেকজান্ডারের
asongkar,আশঙ্কার,অসংকার,আশঙ্কার
ashankita,আশঙ্কিত,অসংক্ত,আশঙ্কিত
ashankito,আশঙ্কিত,অশংক্তি,আশঙ্কিত
asaf,আসফ,আসাফ,আসফ
ashoph,আসফ,অসফ,আসফ
ashorti,আসরটি,আশরটি,আসরটি
asare,আসরে,আসারে,আসরে
asarey,আসরে,আসারে,আসরে
ashore,আসরে,অশরে,আসরে
asore,আসরে,অসরে,আসরে
aashorer,আসরের,আশরের,আসরের
ashorer,আসরের,অশরের,আসরের
asorer,আসরের,অসরের,আসরের
asipher,আসিফের,আসীফের,আসিফের
ashim,আসিম,অসীম,আসিম
asim,আসিম,অসীম,আসিম
ahonafer,আহনাফের,অহনাফের,আহনাফের
ahuto,আহূত,আহুত,আহূত
englishye,ইংলিশে,ইংলিস্যে,ইংলিশে
unitey,ইউনিটে,ইউনিতে,ইউনিটে
ooniversal,ইউনিভার্সাল,অনিভার্সল,ইউনিভার্সাল
uneeversal,ইউনিভার্সাল,ইউনিভার্সল,ইউনিভার্সাল
unesco,ইউনেসকো,উনেস্ক,ইউনেসকো
yousafzai,ইউসুফজাই,যৌসাফ্যে,ইউসুফজাই
yusoof,ইউসূফ,ইউসুফ,ইউসূফ
yusuf,ইউসূফ,ইউসুফ,ইউসূফ
iqbal,ইকবাল,একবাল,ইকবাল
enginiir,ইঞ্জিনিয়ার,এঙ্গিনীর,ইঞ্জিনিয়ার
eedeen,ইডেন,ঈডিন,ইডেন
eid,ইদ,ঈড,ইদ
eendex,ইনডেক্স,ইন্ডেক্স,ইনডেক্স
inadeqsa,ইনডেক্স,ইনাদেক্স,ইনডেক্স
inastitiusana,ইনস্টিটিউশন,ইনস্টিসিউশন,ইনস্টিটিউশন
inspector,ইনস্পেক্টর,ইন্সপেক্টর,ইনস্পেক্টর
indush,ইন্দাস,ইন্ডাস,ইন্দাস
yaung,ইয়ং,যাং,ইয়ং
yaunj,ইয়ং,যঞ্জ,ইয়ং
irankay,ইরানকে,ইরাঙকে,ইরানকে
irankey,ইরানকে,ইরণকে,ইরানকে
eeraneo,ইরানেও,এরানেও,ইরানেও
iraaneo,ইরানেও,ইরাণেও,ইরানেও
ilinaye,ইলিনয়ে,এলিন়ান,ইলিনয়ে
ilinayee,ইলিনয়ে,এলিনয়ে,ইলিনয়ে
ishta,ইস্ট,ইষ্ট,ইস্ট
ishtrozen,ইস্ট্রোজেন,ইস্টোরজেন,ইস্ট্রোজেন
estrogener,ইস্ট্রোজেনের,এস্টোরেজের,ইস্ট্রোজেনের
ehoramer,ইহরামের,আহরামের,ইহরামের
ooeenslet,উইন্সলেট,ইউন্সলেট,উইন্সলেট
ooinslet,উইন্সলেট,ইউন্সলেট,উইন্সলেট
winslet,উইন্সলেট,ভিন্সলিট,উইন্সলেট
wook,উক,ভুক,উক
utthapon,উত্থাপন,উৎ্াপন,উত্থাপন
udarer,উদরের,উদারের,উদরের
uddesshe,উদ্দ্যেশ্যে,উদ্দেশ্যে,উদ্দ্যেশ্যে
uddyeshye,উদ্দ্যেশ্যে,উদ্দেশ্যে,উদ্দ্যেশ্যে
udbigno,উদ্বিগ্ন,উদ্বিগ্ণ,উদ্বিগ্ন
udwignota,উদ্বিগ্নতা,উদ্বীগ্ঞতা,উদ্বিগ্নতা
udbignatar,উদ্বিগ্নতার,উদ্বিদ্ঞতার,উদ্বিগ্নতার
udvijjo,উদ্ভিজ্জ,উদ্ভীজ্য,উদ্ভিজ্জ
uparashtrapoti,উপরাষ্ট্রপতি,উপারস্তাপটি,উপরাষ্ট্রপতি
uporashtropoti,উপরাষ্ট্রপতি,উপরস্তাপটি,উপরাষ্ট্রপতি
upostheetio,উপস্থিতিও,উপস্থিত,উপস্থিতিও
upacharzer,উপাচার্যের,উপারচর্যের,উপাচার্যের
uparzonkarii,উপার্জনকারী,উপর্যনকারী,উপার্জনকারী
ubhachar,উভচর,উভচার,উভচর
ubhochar,উভচর,উচ্চার,উভচর
ubhochor,উভচর,উচ্চর,উভচর
uvochar,উভচর,উচভার,উভচর
umed,উমেদ,উমেড,উমেদ
ulamaagon,উলামাগণ,উলমাগণ,উলামাগণ
wooler,উলের,ওললের,উলের
ujhha,উহ্য,উজ্া,উহ্য
utkantha,উৎকণ্ঠা,উৎকান্ঠা,উৎকণ্ঠা
utkanthita,উৎকণ্ঠিত,উৎকান্থিত,উৎকণ্ঠিত
utkanthito,উৎকণ্ঠিত,উৎকান্থিত,উৎকণ্ঠিত
utkonthito,উৎকণ্ঠিত,উৎকন্ঠিত,উৎকণ্ঠিত
utsahei,উৎসাহেই,উত্সহেই,উৎসাহেই
utsaher,উৎসাহের,উত্সাহের,উৎসাহের
age,এইজ,আগে,এইজ
aje,এইজ,আজে,এইজ
ekokke,একককে,এককে,একককে
ekokkey,একককে,এককে,একককে
ekjot,একজোট,একজত,একজোট
ekzot,একজোট,একজত,একজোট
aktana,একটানা,একতানা,একটানা
ektana,একটানা,একটান,একটানা
ekdalaa,একডালা,একদলা,একডালা
ica,একা,ইক,একা
akem,একেএম,একেম,একেএম
akm,একেএম,একম,একেএম
advocate,এডভোকেট,অ্যাডভোকেট,এডভোকেট
eduti,এদুটি,এডুটি,এদুটি
ederi,এদেরই,এডররি,এদেরই
encryption,এনক্রিপশন,এন্ারোপিকশন,এনক্রিপশন
ebhareshta,এভারেস্ট,ইভারেস্ট,এভারেস্ট
avaraster,এভারেস্টের,অভরাস্টার,এভারেস্টের
mitir,এমআইটির,মিটির,এমআইটির
emeseye,এমএসআই,এমেসে,এমএসআই
emontao,এমনটাও,এমন্াও,এমনটাও
mbr,এমবির,মিবির,এমবির
mca,এমসিএ,মিকা,এমসিএ
aircraft,এয়ারক্রাফট,আই়ার্কফার্ট,এয়ারক্রাফট
aircrapht,এয়ারক্রাফট,আই়ার্কফ্রেট,এয়ারক্রাফট
ercraft,এয়ারক্রাফট,আর্কোরফাট,এয়ারক্রাফট
eyarakrafata,এয়ারক্রাফট,ইই়ারক্রোট,এয়ারক্রাফট
iyarakraphata,এয়ারক্রাফট,ইয়ারক্রাফট,এয়ারক্রাফট
erpoorbe,এরপূর্বে,এরপর্বে,এরপূর্বে
ershad,এরশাদ,এরসাদ,এরশাদ
irshader,এরশাদের,ঈর্ষদদের,এরশাদের
alcoholer,এলকোহলের,অল্লকহলের,এলকোহলের
elapiji,এলপিজি,এলাপিজী,এলপিজি
elpiji,এলপিজি,এলপিজী,এলপিজি
ilapiji,এলপিজি,এলাপিজী,এলপিজি
lpj,এলপিজি,ল্পজ,এলপিজি
elakagulotay,এলাকাগুলোতে,এলোকাগুলোতে,এলাকাগুলোতে
elakaata,এলাকাটা,এলাকাতা,এলাকাটা
elakaatite,এলাকাটিতে,এলাকাতিতে,এলাকাটিতে
elakatite,এলাকাটিতে,এলাকাতিতে,এলাকাটিতে
elakatitey,এলাকাটিতে,এলাকাতিতে,এলাকাটিতে
elija,এলিজা,এলিজ,এলিজা
eliza,এলিজা,এলিজ,এলিজা
esechhilo,এসেছিলো,এসেছিল,এসেছিলো
oiteejyou,ঐতিহ্যও,ঐতিযোদ্যু,ঐতিহ্যও
oitijhyao,ঐতিহ্যও,ঐতিহ্যাও,ঐতিহ্যও
oitijjoke,ঐতিহ্যকে,ঐতিজ্যকে,ঐতিহ্যকে
oitijjhagato,ঐতিহ্যগত,ঐতিহ্যজগত,ঐতিহ্যগত
oitijjhogato,ঐতিহ্যগত,ঐতিহ্যজগত,ঐতিহ্যগত
oak,ওক,ওকাক,ওক
wadaen,ওয়ার্ডেন,ওয়েডেন,ওয়ার্ডেন
vashing,ওয়াশিং,ভাসিং,ওয়াশিং
wasing,ওয়াশিং,বাসিং,ওয়াশিং
oyelasha,ওয়েলশ,ওয়েলস,ওয়েলশ
wahab,ওহাব,ওয়াব,ওহাব
wahaber,ওহাবের,ওযাহবের,ওহাবের
auddhatto,ঔদ্ধত্য,অদ্ধতত্ব,ঔদ্ধত্য
auddhatyo,ঔদ্ধত্য,অধ্যতত্ব,ঔদ্ধত্য
ouddhatya,ঔদ্ধত্য,অদাধ্যত্য,ঔদ্ধত্য
ouddhatyer,ঔদ্ধত্যের,উদ্ধত্যের,ঔদ্ধত্যের
ouroshe,ঔরসে,অরোষে,ঔরসে
kongsh,কংশ,কংস,কংশ
kongsho,কংশ,কংস,কংশ
konso,কংশ,কংস,কংশ
konchee,কঞ্চি,কোঁচি,কঞ্চি
kanchir,কঞ্চির,কাঞ্চির,কঞ্চির
kanagulor,কণাগুলোর,কানাগুলোর,কণাগুলোর
konagulor,কণাগুলোর,কোনাগুলোর,কণাগুলোর
kodoma,কদমা,কোদমা,কদমা
kadarja,কদর্য,কাদর্্য,কদর্য
konbharson,কনভার্সন,কন্ভর্ষণ,কনভার্সন
qanabharsana,কনভার্সন,কনভারসন,কনভার্সন
kanabhenasana,কনভেনশন,কনভানেশন,কনভেনশন
kanabhenashhana,কনভেনশন,কনভেবনস,কনভেনশন
copototar,কপটতার,কপটার,কপটতার
kapatatar,কপটতার,কপাটার,কপটতার
kobjir,কবজির,কব্জির,কবজির
kobootor,কবুতর,কবুটর,কবুতর
kommabe,কমাবে,কমম্বে,কমাবে
kamaley,কমালে,কামালে,কমালে
komaley,কমালে,কোমালে,কমালে
kome,কমে,কম,কমে
komeo,কমেও,কমিও,কমেও
kompoo,কম্প,কম্পু,কম্প
corporationey,করপোরেশনে,কর্পোরেশন,করপোরেশনে
corporationer,করপোরেশনের,কর্পোরেশনের,করপোরেশনের
karunar,করুণার,কারুনার,করুণার
karoti,করোটি,করতি,করোটি
koroti,করোটি,করতি,করোটি
karotir,করোটির,কারতির,করোটির
karmokando,কর্মকাণ্ড,কর্মকান্ড,কর্মকাণ্ড
kormokaando,কর্মকাণ্ড,কর্মকান্দ,কর্মকাণ্ড
kormokaandoi,কর্মকাণ্ডই,কর্মকান্ডই,কর্মকাণ্ডই
kormokandoyi,কর্মকাণ্ডই,কর্মকান্ডই,কর্মকাণ্ডই
karmakandoke,কর্মকাণ্ডকে,কর্মকান্ডকে,কর্মকাণ্ডকে
karmakandey,কর্মকাণ্ডে,কর্মকান্ডে,কর্মকাণ্ডে
kormokande,কর্মকাণ্ডে,কর্মকান্ডে,কর্মকাণ্ডে
karmoker,কর্মকার,কর্মকের,কর্মকার
karmasuchi,কর্মসুচি,কর্মসূচী,কর্মসুচি
karmosuchi,কর্মসুচি,কর্মসূচী,কর্মসুচি
karmaa,কর্মা,কারমা,কর্মা
qarma,কর্মা,কারমা,কর্মা
kalkarkhanar,কলকারখানার,কালকরর্ণার,কলকারখানার
kolkarkhanar,কলকারখানার,কোলকার্ণার,কলকারখানার
colingwood,কলিংউড,কলিঙ্গদ,কলিংউড
calle,কলে,কললে,কলে
kole,কলে,কোল,কলে
koleze,কলেজে,কলেজ,কলেজে
kashtakor,কষ্টকর,কাষ্টাকর,কষ্টকর
koshtokor,কষ্টকর,কোষ্টকর,কষ্টকর
kasrot,কসরত,কাসরত,কসরত
kosrot,কসরত,কষৎরত,কসরত
koshovo,কসোভো,কশভ,কসোভো
kosobha,কসোভো,কোষভা,কসোভো
kosova,কসোভো,কসভা,কসোভো
kankan,কাঁকন,কঙ্কন,কাঁকন
kankon,কাঁকন,কঙ্কন,কাঁকন
kandane,কাঁদানে,কন্ডানে,কাঁদানে
kandaney,কাঁদানে,কন্দানে,কাঁদানে
kaakeena,কাকিনা,কাকেন,কাকিনা
kakeena,কাকিনা,ককিন,কাকিনা
katto,কাটতো,কাট্য,কাটতো
kander,কাণ্ডের,কান্ডের,কাণ্ডের
kantar,কান্তার,কাঁতার,কান্তার
kafera,কাফের,কাফেরা,কাফের
kaffir,কাফের,কফির,কাফের
kaphara,কাফের,কাফর,কাফের
kapheera,কাফের,কফিরা,কাফের
kaphera,কাফের,কফেরা,কাফের
kaphphir,কাফের,কফির,কাফের
qaphera,কাফের,কাফেরা,কাফের
kaaferraa,কাফেররা,কাফেরা,কাফেররা
kama,কামা,কম,কামা
kaaraamat,কারামত,কারামাত,কারামত
karammot,কারামত,করমমত,কারামত
carer,কারের,চারের,কারের
kaarlayil,কার্লাইল,কার্লয়েল,কার্লাইল
karlayil,কার্লাইল,কার্লেল,কার্লাইল
karlel,কার্লাইল,কার্লেল,কার্লাইল
qarlail,কার্লাইল,কার্লেল,কার্লাইল
qarlayil,কার্লাইল,কার্লিয়াল,কার্লাইল
kaashi,কাসি,কাশি,কাসি
kaasi,কাসি,কাশী,কাসি
kasee,কাসি,কাশী,কাসি
kasi,কাসি,কাশি,কাসি
keengdomer,কিংডমের,কিংদমের,কিংডমের
cue,কিউ,কি,কিউ
kinaaraa,কিনারা,কিনার,কিনারা
kinarar,কিনারার,কিনার,কিনারার
kiirtike,কীর্তিকে,কির্তিকে,কীর্তিকে
kunj,কুঁজ,কুঞ্জ,কুঁজ
caakri,কুকরী,কাক্রী,কুকরী
cookrii,কুকরী,চক্রী,কুকরী
kukari,কুকরী,কুকারি,কুকরী
kukri,কুকরী,কুকরি,কুকরী
kkundo,কুন্ড,কুণ্ড,কুন্ড
koondo,কুন্ড,কুণ্ড,কুন্ড
kundo,কুন্ড,কুণ্ড,কুন্ড
kunndo,কুন্ড,কুণ্দ,কুন্ড
kunnteer,কুন্তীর,কুন্টির,কুন্তীর
kumbher,কুম্ভের,কুম্ভার,কুম্ভের
cooli,কুলী,কুলি,কুলী
kulungi,কুলুঙ্গি,কুলুঙ্গী,কুলুঙ্গি
krishijato,কৃষিজাত,কৃষিজত,কৃষিজাত
koibarto,কৈবর্ত,কৈবার্ত,কৈবর্ত
kailase,কৈলাসে,কাইলাস,কৈলাসে
koilase,কৈলাসে,কৈলসে,কৈলাসে
quotar,কোটার,কুটার,কোটার
kodo,কোডও,কোডো,কোডও
konodin,কোনওদিন,কোনদিন,কোনওদিন
konoyodin,কোনওদিন,কনোদীন,কোনওদিন
konyodin,কোনওদিন,কন্যদিন,কোনওদিন
